Network,Site,State,Latitude,Longitude,Elevation
CSN,10050002.0,AL,31.6641,-85.6062,139.0
CSN,10730023.0,AL,33.5531,-86.815,177.0
CSN,10731009.0,AL,33.4597,-87.3056,149.0
CSN,10732003.0,AL,33.4997,-86.9242,180.0
CSN,10890014.0,AL,34.6877,-86.5864,180.0
CSN,10970003.0,AL,30.7699,-88.0875,3.0
CSN,11011002.0,AL,32.4071,-86.2564,64.0
CSN,11030011.0,AL,34.5187,-86.9769,185.0
CSN,11130001.0,AL,32.4768,-84.9991,91.0
CSN,11130003.0,AL,32.437,-84.9996,25.0
CSN,20200018.0,AK,61.2059,-149.8246,44.0
CSN,20900010.0,AK,64.8407,-147.7225,132.0
CSN,20900034.0,AK,64.8457,-147.7274,132.0
CSN,40130019.0,AZ,33.4838,-112.1426,319.0
CSN,40134009.0,AZ,33.4064,-112.1443,317.0
CSN,40137003.0,AZ,33.2902,-112.1606,340.0
CSN,40137020.0,AZ,33.4882,-111.8557,378.0
CSN,40138006.0,AZ,33.4349,-112.093,342.0
CSN,40139998.0,AZ,33.4553,-111.9961,337.0
CSN,40191028.0,AZ,32.2952,-110.9823,710.0
CSN,50030005.0,AR,33.1369,-91.9504,47.0
CSN,51190007.0,AR,34.7562,-92.2813,77.0
CSN,51450001.0,AR,35.2489,-91.7156,71.0
CSN,60070002.0,CA,39.7574,-121.8433,60.0
CSN,60190011.0,CA,36.7853,-119.7742,22.0
CSN,60250005.0,CA,32.6762,-115.4841,3.0
CSN,60290014.0,CA,35.3561,-119.0412,118.0
CSN,60371103.0,CA,34.0666,-118.2269,126.0
CSN,60631009.0,CA,39.8083,-120.4717,1521.0
CSN,60658001.0,CA,33.9996,-117.416,250.0
CSN,60670006.0,CA,38.6138,-121.368,19.0
CSN,60670010.0,CA,38.5582,-121.493,5.0
CSN,60730003.0,CA,32.7912,-116.9421,169.0
CSN,60731002.0,CA,33.1277,-117.0753,237.0
CSN,60731018.0,CA,32.818000000000005,-116.9681,119.0
CSN,60731022.0,CA,32.7896,-116.9442,144.0
CSN,60850004.0,CA,37.3397,-121.8886,26.0
CSN,60850005.0,CA,37.3485,-121.8949,21.0
CSN,60990005.0,CA,37.6416,-120.9946,19.0
CSN,61072002.0,CA,36.3322,-119.2912,91.0
CSN,61112002.0,CA,34.2757,-118.6847,308.0
CSN,80010006.0,CO,39.826,-104.9374,1558.0
CSN,80010008.0,CO,39.8284,-104.9384,1574.0
CSN,80310025.0,CO,39.704,-104.9981,1606.0
CSN,80310026.0,CO,39.7795,-105.0052,22.0
CSN,80410011.0,CO,38.828,-104.8277,1828.0
CSN,80670008.0,CO,37.2677,-107.8746,2011.0
CSN,80770003.0,CO,39.0916,-108.5638,1524.0
CSN,80770017.0,CO,39.0638,-108.5612,1524.0
CSN,81230008.0,CO,40.2094,-104.8241,1464.0
CSN,90019003.0,CT,41.1183,-73.3367,1.0
CSN,90090027.0,CT,41.3014,-72.9029,5.0
CSN,90091123.0,CT,41.3108,-72.9169,19.0
CSN,100010003.0,DE,39.155,-75.5181,6.0
CSN,100032004.0,DE,39.7394,-75.5581,31.0
CSN,110010043.0,DC,38.9218,-77.0132,31.0
CSN,120110034.0,FL,26.0539,-80.2569,2.7
CSN,120111002.0,FL,26.0831,-80.2376,3.0
CSN,120330004.0,FL,30.5254,-87.2036,23.0
CSN,120571075.0,FL,28.04999999999998,-82.37809999999993,18.0
CSN,120573002.0,FL,27.9657,-82.2304,28.0
CSN,120730012.0,FL,30.4397,-84.3464,16.0
CSN,120861016.0,FL,25.7942,-80.2156,2.0
CSN,121030026.0,FL,27.8503,-82.7145,2.0
CSN,130210007.0,GA,32.7775,-83.6411,103.0
CSN,130510017.0,GA,32.093,-81.14399999999998,3.0
CSN,130590001.0,GA,33.9458,-83.3722,214.0
CSN,130690002.0,GA,31.5133,-82.7501,64.0
CSN,131150003.0,GA,34.2605,-85.3233,240.0
CSN,131150005.0,GA,34.2632,-85.3048,213.0
CSN,132150011.0,GA,32.4291,-84.9316,78.0
CSN,132450091.0,GA,33.4333,-82.0222,57.0
CSN,132950002.0,GA,34.9788,-85.3009,200.0
CSN,150030010.0,HI,21.3237,-158.0886,20.0
CSN,150032004.0,HI,21.3928,-157.9691,24.0
CSN,160010010.0,ID,43.6007,-116.3478,853.0
CSN,160270004.0,ID,43.5624,-116.5632,853.0
CSN,170310050.0,IL,41.707599999999964,-87.56860000000003,178.0
CSN,170310057.0,IL,41.9129,-87.7227,185.0
CSN,170310076.0,IL,41.7514,-87.7135,188.0
CSN,170314201.0,IL,42.14,-87.7992,194.0
CSN,170434002.0,IL,41.7711,-88.1525,213.0
CSN,171150013.0,IL,39.8668,-88.9256,206.0
CSN,171190024.0,IL,38.7006,-90.1448,125.0
CSN,171192009.0,IL,38.9031,-90.1432,154.0
CSN,180030004.0,IN,41.095,-85.1018,228.0
CSN,180190006.0,IN,38.2777,-85.7402,140.0
CSN,180372001.0,IN,38.3914,-86.9292,139.0
CSN,180390003.0,IN,41.6678,-85.9694,229.0
CSN,180390008.0,IN,41.6569,-85.9684,231.0
CSN,180650003.0,IN,40.0095,-85.5235,309.0
CSN,180890022.0,IN,41.6067,-87.3047,179.0
CSN,180892004.0,IN,41.5855,-87.4745,182.0
CSN,180970078.0,IN,39.8111,-86.1145,240.0
CSN,181411008.0,IN,41.6936,-86.2367,219.0
CSN,181630012.0,IN,38.0217,-87.5695,124.0
CSN,181630021.0,IN,38.0132,-87.5779,120.0
CSN,191130037.0,IA,42.0051,-91.6793,254.0
CSN,191130040.0,IA,41.9768,-91.6877,22.0
CSN,191530030.0,IA,41.6032,-93.6431,282.0
CSN,191532520.0,IA,41.6647,-93.6142,262.0
CSN,191630015.0,IA,41.53,-90.5876,212.0
CSN,201730010.0,KS,37.7021,-97.3148,405.0
CSN,202090021.0,KS,39.1172,-94.6356,269.0
CSN,210190017.0,KY,38.4593,-82.6404,189.0
CSN,210430500.0,KY,38.2389,-82.9881,213.0
CSN,210590005.0,KY,37.7808,-87.0753,127.0
CSN,210590014.0,KY,37.7411,-87.1181,122.0
CSN,210670012.0,KY,38.065,-84.4976,296.0
CSN,211110043.0,KY,38.2332,-85.8157,140.0
CSN,211110048.0,KY,38.2402,-85.7319,144.0
CSN,211110067.0,KY,38.2288,-85.6545,161.0
CSN,211111041.0,KY,38.2316,-85.8268,140.0
CSN,211170007.0,KY,39.0725,-84.525,220.0
CSN,211250004.0,KY,37.0872,-84.0633,352.0
CSN,211451004.0,KY,37.0664,-88.6377,121.0
CSN,211930003.0,KY,37.2833,-83.2093,414.0
CSN,212270007.0,KY,36.9933,-86.4183,152.0
CSN,220150008.0,LA,32.5363,-93.7489,47.0
CSN,220330009.0,LA,30.462,-91.1792,16.0
CSN,240030019.0,MD,39.10110000000001,-76.72940000000001,45.0
CSN,240053001.0,MD,39.3108,-76.4744,10.0
CSN,240330030.0,MD,39.0553,-76.8783,47.0
